MMSID|title_parent|processing_type|processing_rules|processing_options|publication_key|title_code|edition_discriminators|section_codes|sequence_letters|Access|Magazine|ingest_status|Frequency|entity_type|title_mets|ISSN online|Bib ID|Access condition|Date catalogued|Collector_folder|Cataloguer|Notes|first_issue_starting_page|last_issue_starting_page|has_volume_md|has_issue_md|has_number_md|previous_volume|previous_volume_date|previous_volume_frequency|previous_issue|previous_issue_date|previous_issue_frequency|previous_number|previous_number_date|previous_number_frequency|
9917976283502836|Sunday Star Times Sunday|parent_grouping||numeric_before_alpha||SMG|ED1+ED2+ED3+NT1+NT2+NT3+ST1+ST2+ST3|ED1+TAB+SPC+QFS||200|1|TEC||PER|Sunday Star Times Sunday|||||Sunday_Star_Times_Sunday||Format change. Fairfax updated title code. NT1 = North Island First Edition -Just a few pages for each issue stops May 2016|||0|0|0||||||||||
9914607593502836|The Southland Times|parent_grouping||numeric_before_alpha|title_code|SOT||ED1+TAB+QFS||200|0|TEC||PER|Southland times|||||The_Southland_Times||Papers Past. Fairfax updated title code|||0|0|0||||||||||
9917966833502836|South Waikato News|parent_grouping||numeric_before_alpha|title_code|SOW||ED1+QFS||200|0|STA||PER|South Waikato News|||||South_Waikato_News||Fairfax updated title code|||0|0|0||||||||||
9917976113502836|Sunday Star Times|parent_grouping||numeric_before_alpha||SUS|ED1+ED2+ED3+NT1+NT2+NT3+ST1+ST2+ST3|ED1+TAB+SPC+QFS||200|0|TEC||PER|Sunday Star Times|||||Sunday_Star_Times||Fairfax updated title code|||0|0|0||||||||||
9917976003502836|Taranaki Daily News|parent_grouping||numeric_before_alpha|title_code|TAD||ED1+TAB+SPC+YPW+QFS+QF||200|0|STC||PER|Taranaki Daily News|||||Taranaki_Daily_News||Fairfax updated title code|||0|0|0||||||||||
9917966723502836|South Taranaki Star|parent_grouping||numeric_before_alpha|title_code|TAS||ED1||200|0|STC||PER|Taranaki star : south central coastal.|||||South_Taranaki_Star||Fairfax updated title code|||0|0|0||||||||||
9917962373502836|Taupo Times|parent_grouping||numeric_before_alpha|title_code|TAT||ED1+TAB+QFS||200|0|STA||PER|Taupo Times|||||Taupo_Times||Fairfax updated title code|||0|0|0||||||||||
9917976413502836|Property weekly|parent_grouping||alpha_before_numeric||TDN||YPW||200|0|TEC|Saturday (weekly)|SS|Property weekly|||||Taranaki_Daily_News||Fairfax updated title code|||0|0|0||||||||||
9914609313502836|The Timaru Herald|parent_grouping||numeric_before_alpha|title_code|TIH||ED1+TAB+QF+QFS||200|0|TEC||PER|The Timaru herald|||||The_Timaru_Herald||Papers past. Fairfax updated title code|||0|0|0||||||||||
9917981683502836|TV Guide|parent_grouping||alpha_before_numeric|title_code|TVG||ED1||200|1|STA||PER|TV guide||1798168|200|29/06/2016|TV_Guide|Denise||||0|0|0||||||||||
9917962273502836|Upper Hutt Leader|parent_grouping||numeric_before_alpha|title_code|UPH||ED1||200|0|STA||PER|Upper Hutt Leader||1796227|100-P|15/06/2016|Upper_Hutt_Leader|Denise|Fairfax updated title code|||0|0|0||||||||||
9917971643502836|Waikato Times|parent_grouping||numeric_before_alpha|title_code|WAT||ED1+TAB+HAR+YWE+SPC+QFS||200|0|STC||PER|Waikato Times||1797164|200|22/06/2016|Waikato_Times|Denise|Fairfax updated title code|||0|0|0||||||||||
9917971783502836|Waikato Times|supplement_grouping||numeric_before_alpha||WAT||YWE||200|0|SUP|Saturday|SS|Your weekend|||||Waikato_Times||Fairfax updated title code|||0|0|0||||||||||
9917925423502836|Western Homes|parent_grouping||alpha_before_numeric|title_code|WHM||ED1||200|0|STA||PER|Western Homes||1792542|100-P|3/06/2016|Western_Homes|Denise||||0|0|0||||||||||
9917923503502836|Whangarei Leader|parent_grouping||numeric_before_alpha|title_code|WLD||ED1+QFS||200|0|STA||PER|Whangarei Leader||1792350|100-P|3/06/2016|Whangarei_Leader|Denise|Fairfax updated title code|||0|0|0||||||||||
9917975173502836|Waikato Location Edition|parent_grouping||alpha_before_numeric|title_code|WPG||ED1||200|0|STA||PER|Waikato Location Edition||1797517|100|24/06/2016|Waikato_Location_Edition|Denise|From 26 Mar 2016 supplement's naming convention changed to Section G|||0|0|0||||||||||
9917923483502836|Western Leader|parent_grouping||numeric_before_alpha|title_code|WSL||ED1||200|0|STA||PER|Western Leader|||||Western_Leader||Fairfax updated title code|||0|0|0||||||||||
